Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/6/2020,2020,2,6,,6.2,,4.1,,5.1,,12.9,,0,,,,,,14.8,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/7/2020,2020,2,7,,7.5,,4.5,,6,,12,,0,,,,,,7.6,,,,24,,74,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/8/2020,2020,2,8,,10.3,,5.3,,7.8,,10.2,,0,,,,,,1.4,,,,24,,71,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/9/2020,2020,2,9,,7.7,,1.6,,4.7,,13.3,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/10/2020,2020,2,10,,8.7,,4.3,,6.5,,11.5,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/11/2020,2020,2,11,,10.9,,4.4,,7.7,,10.3,,0,,,,,,0,,,,28,,44,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/12/2020,2020,2,12,,8.5,,5.1,,6.8,,11.2,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/13/2020,2020,2,13,,8.9,,5.1,,7,,11,,0,,,,,,2.2,,,,27,,51,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/14/2020,2020,2,14,,8.6,,4.8,,6.7,,11.3,,0,,,,,,1.2,,,,26,,61,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/15/2020,2020,2,15,,9.7,,5.1,,7.4,,10.6,,0,,,,,,1,,,,25,,55,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/16/2020,2020,2,16,,8.1,,4.3,,6.2,,11.8,,0,,,,,,0,,,,26,,56,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/17/2020,2020,2,17,,8.8,,0.9,,4.9,,13.1,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/18/2020,2020,2,18,,7.2,,1,,4.1,,13.9,,0,,,,,,0,,,,2,,31,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/19/2020,2020,2,19,,8.3,,1.3,,4.8,,13.2,,0,,,,,,0,,,,35,,33,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/20/2020,2020,2,20,,10,,1.9,,5.9,,12.1,,0,,,,,,0,,,,,,,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/21/2020,2020,2,21,,9,,2.4,,5.7,,12.3,,0,,,,,,0,,,,25,,44,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/22/2020,2020,2,22,,9.9,,5.1,,7.5,,10.5,,0,,,,,,2.4,,,,26,,41,
-123.32,48.41,VICTORIA GONZALES CS,1018611,2/23/2020,2020,2,23,,7.7,,4,,5.8,,12.2,,0,,,,,,5.6,,,,26,,101,
